Diagnosis_Code,Description,CMS-HCC Model Category V28,Potential Co-existing Diagnoses
H401224,"Low-tension glaucoma, left eye, indeterminate stage",,
H401230,"Low-tension glaucoma, bilateral, stage unspecified",,
H401230,"Low-tension glaucoma, bilateral, stage unspecified",,
H401231,"Low-tension glaucoma, bilateral, mild stage",,
H401231,"Low-tension glaucoma, bilateral, mild stage",,
H401232,"Low-tension glaucoma, bilateral, moderate stage",,
H401233,"Low-tension glaucoma, bilateral, severe stage",,
H401234,"Low-tension glaucoma, bilateral, indeterminate stage",,
H401234,"Low-tension glaucoma, bilateral, indeterminate stage",,
H401290,"Low-tension glaucoma, unspecified eye, stage unspecified",,
H401290,"Low-tension glaucoma, unspecified eye, stage unspecified",,
H401291,"Low-tension glaucoma, unspecified eye, mild stage",,
H401291,"Low-tension glaucoma, unspecified eye, mild stage",,
H401292,"Low-tension glaucoma, unspecified eye, moderate stage",,
H401293,"Low-tension glaucoma, unspecified eye, severe stage",,
H401294,"Low-tension glaucoma, unspecified eye, indeterminate stage",,
H401294,"Low-tension glaucoma, unspecified eye, indeterminate stage",,
H401310,"Pigmentary glaucoma, right eye, stage unspecified",,
H401310,"Pigmentary glaucoma, right eye, stage unspecified",,
H401311,"Pigmentary glaucoma, right eye, mild stage",,
H401311,"Pigmentary glaucoma, right eye, mild stage",,
H401312,"Pigmentary glaucoma, right eye, moderate stage",,
H401313,"Pigmentary glaucoma, right eye, severe stage",,
H401314,"Pigmentary glaucoma, right eye, indeterminate stage",,
H401314,"Pigmentary glaucoma, right eye, indeterminate stage",,
H401320,"Pigmentary glaucoma, left eye, stage unspecified",,
H401320,"Pigmentary glaucoma, left eye, stage unspecified",,
H401321,"Pigmentary glaucoma, left eye, mild stage",,
H401321,"Pigmentary glaucoma, left eye, mild stage",,
H401322,"Pigmentary glaucoma, left eye, moderate stage",,
H401323,"Pigmentary glaucoma, left eye, severe stage",,
H401324,"Pigmentary glaucoma, left eye, indeterminate stage",,
H401324,"Pigmentary glaucoma, left eye, indeterminate stage",,
H401330,"Pigmentary glaucoma, bilateral, stage unspecified",,
H401330,"Pigmentary glaucoma, bilateral, stage unspecified",,
H401331,"Pigmentary glaucoma, bilateral, mild stage",,
H401331,"Pigmentary glaucoma, bilateral, mild stage",,
H401332,"Pigmentary glaucoma, bilateral, moderate stage",,
H401333,"Pigmentary glaucoma, bilateral, severe stage",,
H401334,"Pigmentary glaucoma, bilateral, indeterminate stage",,
H401334,"Pigmentary glaucoma, bilateral, indeterminate stage",,
H401390,"Pigmentary glaucoma, unspecified eye, stage unspecified",,
H401390,"Pigmentary glaucoma, unspecified eye, stage unspecified",,
H401391,"Pigmentary glaucoma, unspecified eye, mild stage",,
H401391,"Pigmentary glaucoma, unspecified eye, mild stage",,
H401392,"Pigmentary glaucoma, unspecified eye, moderate stage",,
H401393,"Pigmentary glaucoma, unspecified eye, severe stage",,
H401394,"Pigmentary glaucoma, unspecified eye, indeterminate stage",,
H401394,"Pigmentary glaucoma, unspecified eye, indeterminate stage",,
H401410,"Capsular glaucoma with pseudoexfoliation of lens, right eye, stage unspecified",,
H401410,"Capsular glaucoma with pseudoexfoliation of lens, right eye, stage unspecified",,
H401411,"Capsular glaucoma with pseudoexfoliation of lens, right eye, mild stage",,
H401411,"Capsular glaucoma with pseudoexfoliation of lens, right eye, mild stage",,
H401412,"Capsular glaucoma with pseudoexfoliation of lens, right eye, moderate stage",,
H401413,"Capsular glaucoma with pseudoexfoliation of lens, right eye, severe stage",,
H401414,"Capsular glaucoma with pseudoexfoliation of lens, right eye, indeterminate stage",,
H401414,"Capsular glaucoma with pseudoexfoliation of lens, right eye, indeterminate stage",,
H401420,"Capsular glaucoma with pseudoexfoliation of lens, left eye, stage unspecified",,
H401420,"Capsular glaucoma with pseudoexfoliation of lens, left eye, stage unspecified",,
H401421,"Capsular glaucoma with pseudoexfoliation of lens, left eye, mild stage",,
H401421,"Capsular glaucoma with pseudoexfoliation of lens, left eye, mild stage",,
H401422,"Capsular glaucoma with pseudoexfoliation of lens, left eye, moderate stage",,
H401423,"Capsular glaucoma with pseudoexfoliation of lens, left eye, severe stage",,
H401424,"Capsular glaucoma with pseudoexfoliation of lens, left eye, indeterminate stage",,
H401424,"Capsular glaucoma with pseudoexfoliation of lens, left eye, indeterminate stage",,
H401430,"Capsular glaucoma with pseudoexfoliation of lens, bilateral, stage unspecified",,
H401430,"Capsular glaucoma with pseudoexfoliation of lens, bilateral, stage unspecified",,
H401431,"Capsular glaucoma with pseudoexfoliation of lens, bilateral, mild stage",,
H401431,"Capsular glaucoma with pseudoexfoliation of lens, bilateral, mild stage",,
H401432,"Capsular glaucoma with pseudoexfoliation of lens, bilateral, moderate stage",,
H401433,"Capsular glaucoma with pseudoexfoliation of lens, bilateral, severe stage",,
H401434,"Capsular glaucoma with pseudoexfoliation of lens, bilateral, indeterminate stage",,
H401434,"Capsular glaucoma with pseudoexfoliation of lens, bilateral, indeterminate stage",,
H401490,"Capsular glaucoma with pseudoexfoliation of lens, unspecified eye, stage unspecified",,
H401490,"Capsular glaucoma with pseudoexfoliation of lens, unspecified eye, stage unspecified",,
H401491,"Capsular glaucoma with pseudoexfoliation of lens, unspecified eye, mild stage",,
H401491,"Capsular glaucoma with pseudoexfoliation of lens, unspecified eye, mild stage",,
H401492,"Capsular glaucoma with pseudoexfoliation of lens, unspecified eye, moderate stage",,
H401493,"Capsular glaucoma with pseudoexfoliation of lens, unspecified eye, severe stage",,
H401494,"Capsular glaucoma with pseudoexfoliation of lens, unspecified eye, indeterminate stage",,
H401494,"Capsular glaucoma with pseudoexfoliation of lens, unspecified eye, indeterminate stage",,
H40151,"Residual stage of open-angle glaucoma, right eye",,
H40152,"Residual stage of open-angle glaucoma, left eye",,
H40153,"Residual stage of open-angle glaucoma, bilateral",,
H40159,"Residual stage of open-angle glaucoma, unspecified eye",,
H4020X0,"Unspecified primary angle-closure glaucoma, stage unspecified",,
H4020X1,"Unspecified primary angle-closure glaucoma, mild stage",,
H4020X2,"Unspecified primary angle-closure glaucoma, moderate stage",,
H4020X2,"Unspecified primary angle-closure glaucoma, moderate stage",,
H4020X3,"Unspecified primary angle-closure glaucoma, severe stage",,
H4020X3,"Unspecified primary angle-closure glaucoma, severe stage",,
H4020X4,"Unspecified primary angle-closure glaucoma, indeterminate stage",,
H402210,"Chronic angle-closure glaucoma, right eye, stage unspecified",,
H402211,"Chronic angle-closure glaucoma, right eye, mild stage",,
H402212,"Chronic angle-closure glaucoma, right eye, moderate stage",,
H402212,"Chronic angle-closure glaucoma, right eye, moderate stage",,
H402213,"Chronic angle-closure glaucoma, right eye, severe stage",,
H402213,"Chronic angle-closure glaucoma, right eye, severe stage",,
H402214,"Chronic angle-closure glaucoma, right eye, indeterminate stage",,
H402220,"Chronic angle-closure glaucoma, left eye, stage unspecified",,
H402221,"Chronic angle-closure glaucoma, left eye, mild stage",,
H402222,"Chronic angle-closure glaucoma, left eye, moderate stage",,
H402222,"Chronic angle-closure glaucoma, left eye, moderate stage",,
H402223,"Chronic angle-closure glaucoma, left eye, severe stage",,
H402223,"Chronic angle-closure glaucoma, left eye, severe stage",,
H402224,"Chronic angle-closure glaucoma, left eye, indeterminate stage",,
H402230,"Chronic angle-closure glaucoma, bilateral, stage unspecified",,
H402231,"Chronic angle-closure glaucoma, bilateral, mild stage",,
H402232,"Chronic angle-closure glaucoma, bilateral, moderate stage",,
H402232,"Chronic angle-closure glaucoma, bilateral, moderate stage",,
H402233,"Chronic angle-closure glaucoma, bilateral, severe stage",,
H402233,"Chronic angle-closure glaucoma, bilateral, severe stage",,
H402234,"Chronic angle-closure glaucoma, bilateral, indeterminate stage",,
H402290,"Chronic angle-closure glaucoma, unspecified eye, stage unspecified",,
H402291,"Chronic angle-closure glaucoma, unspecified eye, mild stage",,
H402292,"Chronic angle-closure glaucoma, unspecified eye, moderate stage",,
H402292,"Chronic angle-closure glaucoma, unspecified eye, moderate stage",,
H402293,"Chronic angle-closure glaucoma, unspecified eye, severe stage",,
H402293,"Chronic angle-closure glaucoma, unspecified eye, severe stage",,
H402294,"Chronic angle-closure glaucoma, unspecified eye, indeterminate stage",,
H40231,"Intermittent angle-closure glaucoma, right eye",,
H40232,"Intermittent angle-closure glaucoma, left eye",,
H40233,"Intermittent angle-closure glaucoma, bilateral",,
H40239,"Intermittent angle-closure glaucoma, unspecified eye",,
H40241,"Residual stage of angle-closure glaucoma, right eye",,
H40242,"Residual stage of angle-closure glaucoma, left eye",,
H40243,"Residual stage of angle-closure glaucoma, bilateral",,
H40249,"Residual stage of angle-closure glaucoma, unspecified eye",,
H4030X0,"Glaucoma secondary to eye trauma, unspecified eye, stage unspecified",,
H4030X1,"Glaucoma secondary to eye trauma, unspecified eye, mild stage",,
H4030X2,"Glaucoma secondary to eye trauma, unspecified eye, moderate stage",,
H4030X2,"Glaucoma secondary to eye trauma, unspecified eye, moderate stage",,
H4030X3,"Glaucoma secondary to eye trauma, unspecified eye, severe stage",,
H4030X3,"Glaucoma secondary to eye trauma, unspecified eye, severe stage",,
H4030X4,"Glaucoma secondary to eye trauma, unspecified eye, indeterminate stage",,
H4031X0,"Glaucoma secondary to eye trauma, right eye, stage unspecified",,
H4031X1,"Glaucoma secondary to eye trauma, right eye, mild stage",,
H4031X2,"Glaucoma secondary to eye trauma, right eye, moderate stage",,
H4031X2,"Glaucoma secondary to eye trauma, right eye, moderate stage",,
H4031X3,"Glaucoma secondary to eye trauma, right eye, severe stage",,
H4031X3,"Glaucoma secondary to eye trauma, right eye, severe stage",,
H4031X4,"Glaucoma secondary to eye trauma, right eye, indeterminate stage",,
H4032X0,"Glaucoma secondary to eye trauma, left eye, stage unspecified",,
H4032X1,"Glaucoma secondary to eye trauma, left eye, mild stage",,
H4032X2,"Glaucoma secondary to eye trauma, left eye, moderate stage",,
H4032X2,"Glaucoma secondary to eye trauma, left eye, moderate stage",,
H4032X3,"Glaucoma secondary to eye trauma, left eye, severe stage",,
H4032X3,"Glaucoma secondary to eye trauma, left eye, severe stage",,
H4032X4,"Glaucoma secondary to eye trauma, left eye, indeterminate stage",,
H4033X0,"Glaucoma secondary to eye trauma, bilateral, stage unspecified",,
H4033X1,"Glaucoma secondary to eye trauma, bilateral, mild stage",,
H4033X2,"Glaucoma secondary to eye trauma, bilateral, moderate stage",,
H4033X2,"Glaucoma secondary to eye trauma, bilateral, moderate stage",,
H4033X3,"Glaucoma secondary to eye trauma, bilateral, severe stage",,
H4033X3,"Glaucoma secondary to eye trauma, bilateral, severe stage",,
H4033X4,"Glaucoma secondary to eye trauma, bilateral, indeterminate stage",,
H4040X0,"Glaucoma secondary to eye inflammation, unspecified eye, stage unspecified",,
H4040X1,"Glaucoma secondary to eye inflammation, unspecified eye, mild stage",,
H4040X2,"Glaucoma secondary to eye inflammation, unspecified eye, moderate stage",,
H4040X2,"Glaucoma secondary to eye inflammation, unspecified eye, moderate stage",,
H4040X3,"Glaucoma secondary to eye inflammation, unspecified eye, severe stage",,
H4040X3,"Glaucoma secondary to eye inflammation, unspecified eye, severe stage",,
H4040X4,"Glaucoma secondary to eye inflammation, unspecified eye, indeterminate stage",,
H4041X0,"Glaucoma secondary to eye inflammation, right eye, stage unspecified",,
H4041X1,"Glaucoma secondary to eye inflammation, right eye, mild stage",,
H4041X2,"Glaucoma secondary to eye inflammation, right eye, moderate stage",,
H4041X2,"Glaucoma secondary to eye inflammation, right eye, moderate stage",,
H4041X3,"Glaucoma secondary to eye inflammation, right eye, severe stage",,
H4041X3,"Glaucoma secondary to eye inflammation, right eye, severe stage",,
H4041X4,"Glaucoma secondary to eye inflammation, right eye, indeterminate stage",,
H4042X0,"Glaucoma secondary to eye inflammation, left eye, stage unspecified",,
H4042X1,"Glaucoma secondary to eye inflammation, left eye, mild stage",,
H4042X2,"Glaucoma secondary to eye inflammation, left eye, moderate stage",,
H4042X2,"Glaucoma secondary to eye inflammation, left eye, moderate stage",,
H4042X3,"Glaucoma secondary to eye inflammation, left eye, severe stage",,
H4042X3,"Glaucoma secondary to eye inflammation, left eye, severe stage",,
H4042X4,"Glaucoma secondary to eye inflammation, left eye, indeterminate stage",,
H4043X0,"Glaucoma secondary to eye inflammation, bilateral, stage unspecified",,
H4043X1,"Glaucoma secondary to eye inflammation, bilateral, mild stage",,
H4043X2,"Glaucoma secondary to eye inflammation, bilateral, moderate stage",,
H4043X2,"Glaucoma secondary to eye inflammation, bilateral, moderate stage",,
H4043X3,"Glaucoma secondary to eye inflammation, bilateral, severe stage",,
H4043X3,"Glaucoma secondary to eye inflammation, bilateral, severe stage",,
H4043X4,"Glaucoma secondary to eye inflammation, bilateral, indeterminate stage",,
H4050X0,"Glaucoma secondary to other eye disorders, unspecified eye, stage unspecified",,
H4050X1,"Glaucoma secondary to other eye disorders, unspecified eye, mild stage",,
H4050X2,"Glaucoma secondary to other eye disorders, unspecified eye, moderate stage",,
H4050X2,"Glaucoma secondary to other eye disorders, unspecified eye, moderate stage",,
H4050X3,"Glaucoma secondary to other eye disorders, unspecified eye, severe stage",,
H4050X3,"Glaucoma secondary to other eye disorders, unspecified eye, severe stage",,
H4050X4,"Glaucoma secondary to other eye disorders, unspecified eye, indeterminate stage",,
H4051X0,"Glaucoma secondary to other eye disorders, right eye, stage unspecified",,
H4051X1,"Glaucoma secondary to other eye disorders, right eye, mild stage",,
H4051X2,"Glaucoma secondary to other eye disorders, right eye, moderate stage",,
H4051X2,"Glaucoma secondary to other eye disorders, right eye, moderate stage",,
H4051X3,"Glaucoma secondary to other eye disorders, right eye, severe stage",,
H4051X3,"Glaucoma secondary to other eye disorders, right eye, severe stage",,
H4051X4,"Glaucoma secondary to other eye disorders, right eye, indeterminate stage",,
H4052X0,"Glaucoma secondary to other eye disorders, left eye, stage unspecified",,
H4052X1,"Glaucoma secondary to other eye disorders, left eye, mild stage",,
H4052X2,"Glaucoma secondary to other eye disorders, left eye, moderate stage",,
H4052X2,"Glaucoma secondary to other eye disorders, left eye, moderate stage",,
H4052X3,"Glaucoma secondary to other eye disorders, left eye, severe stage",,
H4052X3,"Glaucoma secondary to other eye disorders, left eye, severe stage",,
H4052X4,"Glaucoma secondary to other eye disorders, left eye, indeterminate stage",,
H4053X0,"Glaucoma secondary to other eye disorders, bilateral, stage unspecified",,
H4053X1,"Glaucoma secondary to other eye disorders, bilateral, mild stage",,
H4053X2,"Glaucoma secondary to other eye disorders, bilateral, moderate stage",,
H4053X2,"Glaucoma secondary to other eye disorders, bilateral, moderate stage",,
H4053X3,"Glaucoma secondary to other eye disorders, bilateral, severe stage",,
H4053X3,"Glaucoma secondary to other eye disorders, bilateral, severe stage",,
H4053X4,"Glaucoma secondary to other eye disorders, bilateral, indeterminate stage",,
H4060X0,"Glaucoma secondary to drugs, unspecified eye, stage unspecified",,
H4060X1,"Glaucoma secondary to drugs, unspecified eye, mild stage",,
H4060X2,"Glaucoma secondary to drugs, unspecified eye, moderate stage",,
H4060X2,"Glaucoma secondary to drugs, unspecified eye, moderate stage",,
H4060X3,"Glaucoma secondary to drugs, unspecified eye, severe stage",,
H4060X3,"Glaucoma secondary to drugs, unspecified eye, severe stage",,
H4060X4,"Glaucoma secondary to drugs, unspecified eye, indeterminate stage",,
H4061X0,"Glaucoma secondary to drugs, right eye, stage unspecified",,
H4061X1,"Glaucoma secondary to drugs, right eye, mild stage",,
H4061X2,"Glaucoma secondary to drugs, right eye, moderate stage",,
H4061X2,"Glaucoma secondary to drugs, right eye, moderate stage",,
H4061X3,"Glaucoma secondary to drugs, right eye, severe stage",,
H4061X3,"Glaucoma secondary to drugs, right eye, severe stage",,
H4061X4,"Glaucoma secondary to drugs, right eye, indeterminate stage",,
H4062X0,"Glaucoma secondary to drugs, left eye, stage unspecified",,
H4062X1,"Glaucoma secondary to drugs, left eye, mild stage",,
H4062X2,"Glaucoma secondary to drugs, left eye, moderate stage",,
H4062X2,"Glaucoma secondary to drugs, left eye, moderate stage",,
H4062X3,"Glaucoma secondary to drugs, left eye, severe stage",,
H4062X3,"Glaucoma secondary to drugs, left eye, severe stage",,
H4062X4,"Glaucoma secondary to drugs, left eye, indeterminate stage",,
H4063X0,"Glaucoma secondary to drugs, bilateral, stage unspecified",,
H4063X1,"Glaucoma secondary to drugs, bilateral, mild stage",,
H4063X2,"Glaucoma secondary to drugs, bilateral, moderate stage",,
H4063X2,"Glaucoma secondary to drugs, bilateral, moderate stage",,
H4063X3,"Glaucoma secondary to drugs, bilateral, severe stage",,
H4063X3,"Glaucoma secondary to drugs, bilateral, severe stage",,
H4063X4,"Glaucoma secondary to drugs, bilateral, indeterminate stage",,
H40811,"Glaucoma with increased episcleral venous pressure, right eye",,
H40812,"Glaucoma with increased episcleral venous pressure, left eye",,
H40813,"Glaucoma with increased episcleral venous pressure, bilateral",,
H40819,"Glaucoma with increased episcleral venous pressure, unspecified eye",,
H40821,"Hypersecretion glaucoma, right eye",,
H40822,"Hypersecretion glaucoma, left eye",,
H40823,"Hypersecretion glaucoma, bilateral",,
H40829,"Hypersecretion glaucoma, unspecified eye",,
H40831,"Aqueous misdirection, right eye",,
H40832,"Aqueous misdirection, left eye",,
H40833,"Aqueous misdirection, bilateral",,
H40839,"Aqueous misdirection, unspecified eye",,
H4089,Other specified glaucoma,,
H409,Unspecified glaucoma,,
H42,Glaucoma in diseases classified elsewhere,,
H4310,"Vitreous hemorrhage, unspecified eye",298,C6990 (27%); I629 (26%); I609 (26%); I619 (25%); I6200 (24%)
H4311,"Vitreous hemorrhage, right eye",298,C6991 (26%); S06340A (23%); H36821 (22%); K9401 (21%); K9421 (21%)
H4312,"Vitreous hemorrhage, left eye",298,C6992 (26%); S06350A (23%); H36822 (22%); K9401 (21%); K9421 (21%)
H4313,"Vitreous hemorrhage, bilateral",298,I69265 (30%); I69065 (29%); I69165 (29%); K9401 (22%); K9421 (22%)
H49811,"Kearns-Sayre syndrome, right eye",,
H49812,"Kearns-Sayre syndrome, left eye",,
H49813,"Kearns-Sayre syndrome, bilateral",,
H49819,"Kearns-Sayre syndrome, unspecified eye",,
I0981,Rheumatic heart failure,226,I50811 (54%); T8622 (52%); I50813 (50%); I5084 (47%); T8632 (45%)
I10,Essential (primary) hypertension,,
I110,Hypertensive heart disease with heart failure,226,I50811 (63%); I1311 (62%); I132 (62%); T8622 (61%); I50813 (58%)
I119,Hypertensive heart disease without heart failure,,
I120,Hypertensive chronic kidney disease with stage 5 chronic kidney disease or end stage renal disease,326,I132 (90%); N1830 (85%); I130 (84%); N184 (77%); N1831 (64%)
I120,Hypertensive chronic kidney disease with stage 5 chronic kidney disease or end stage renal disease,,
I129,"Hypertensive chronic kidney disease with stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease",,
I130,"Hypertensive heart and chronic kidney disease with heart failure and stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease",226,I1311 (92%); I132 (92%); N185 (87%); N1830 (86%); I120 (84%)
I130,"Hypertensive heart and chronic kidney disease with heart failure and stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease",,
I1310,"Hypertensive heart and chronic kidney disease without heart failure, with stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease",,
I1311,"Hypertensive heart and chronic kidney disease without heart failure, with stage 5 chronic kidney disease, or end stage renal disease",326,I132 (100%); I130 (92%); N1830 (76%); N184 (69%); I110 (62%)
I1311,"Hypertensive heart and chronic kidney disease without heart failure, with stage 5 chronic kidney disease, or end stage renal disease",,
I132,"Hypertensive heart and chronic kidney disease with heart failure and with stage 5 chronic kidney disease, or end stage renal disease",226,I1311 (100%); I132 (100%); I120 (90%); N185 (78%); N1830 (76%)
I132,"Hypertensive heart and chronic kidney disease with heart failure and with stage 5 chronic kidney disease, or end stage renal disease",326,I132 (100%); I130 (92%); N1830 (76%); N184 (69%); I110 (62%)
I150,Renovascular hypertension,,
I151,Hypertension secondary to other renal disorders,,
I152,Hypertension secondary to endocrine disorders,,
I158,Other secondary hypertension,,
I159,"Secondary hypertension, unspecified",,
I160,Hypertensive urgency,,
I161,Hypertensive emergency,,
I169,"Hypertensive crisis, unspecified",,
I1A0,Resistant hypertension,,
I200,Unstable angina,229,S1202XB (30%); S1202XA (30%); S22012B (29%); S22032B (29%); S32012B (29%)
I201,Angina pectoris with documented spasm,,
I202,Refractory angina pectoris,,
I208,Other forms of angina pectoris,,
I2081,Angina pectoris with coronary microvascular dysfunction,,
I2089,Other forms of angina pectoris,,
I209,"Angina pectoris, unspecified",,
I2101,ST elevation (STEMI) myocardial infarction involving left main coronary artery,228,I240 (37%); C3402 (31%); C3400 (28%); C3401 (27%); I25720 (25%)
I2102,ST elevation (STEMI) myocardial infarction involving left anterior descending coronary artery,228,I240 (35%); I63422 (30%); I63322 (30%); I63429 (27%); I63329 (27%)
I2109,ST elevation (STEMI) myocardial infarction involving other coronary artery of anterior wall,228,I240 (37%); I63429 (28%); I63329 (28%); I63422 (28%); I63421 (28%)
I2111,ST elevation (STEMI) myocardial infarction involving right coronary artery,228,I240 (40%); I25720 (27%); I238 (27%); I63131 (27%); I63031 (27%)
I2119,ST elevation (STEMI) myocardial infarction involving other coronary artery of inferior wall,228,I240 (35%); I25720 (24%); I238 (24%); I233 (23%); I515 (21%)
I2121,ST elevation (STEMI) myocardial infarction involving left circumflex coronary artery,228,I240 (36%); I25720 (24%); I238 (24%); I63132 (24%); I63032 (24%)
I2129,ST elevation (STEMI) myocardial infarction involving other sites,228,I238 (30%); I515 (27%); I240 (26%); I230 (25%); M341 (24%)
I213,ST elevation (STEMI) myocardial infarction of unspecified site,228,I238 (31%); I515 (28%); I240 (27%); I230 (26%); M341 (25%)
I214,Non-ST elevation (NSTEMI) myocardial infarction,228,I238 (30%); I515 (27%); I240 (26%); I230 (25%); M341 (25%)
I219,"Acute myocardial infarction, unspecified",228,I238 (67%); I240 (58%); I230 (56%); I235 (47%); I515 (46%)
I21A1,Myocardial infarction type 2,228,I238 (55%); I515 (50%); I240 (48%); I230 (46%); I6389 (39%)
I21A9,Other myocardial infarction type,228,I238 (55%); I515 (50%); I240 (48%); I230 (46%); I6389 (39%)
I21B,Myocardial infarction with coronary microvascular dysfunction,228,I2481 (79%); I240 (48%); I238 (32%); I515 (29%); I230 (27%)
I220,Subsequent ST elevation (STEMI) myocardial infarction of anterior wall,228,C673 (29%); C113 (28%); I238 (27%); I233 (27%); S32413B (27%)
I221,Subsequent ST elevation (STEMI) myocardial infarction of inferior wall,228,I238 (26%); I233 (26%); I515 (24%); I240 (22%); I82221 (22%)
I222,Subsequent non-ST elevation (NSTEMI) myocardial infarction,228,I238 (28%); I515 (26%); I240 (25%); I230 (24%); M341 (23%)
I228,Subsequent ST elevation (STEMI) myocardial infarction of other sites,228,I238 (29%); I515 (27%); I240 (26%); I230 (25%); M341 (24%)
I229,Subsequent ST elevation (STEMI) myocardial infarction of unspecified site,228,I238 (29%); I515 (27%); I240 (25%); I230 (24%); M341 (24%)
I230,Hemopericardium as current complication following acute myocardial infarction,229,I219 (56%); I21A1 (46%); I21A9 (46%); I515 (27%); I21B (27%)
I231,Atrial septal defect as current complication following acute myocardial infarction,229,I219 (45%); I21A1 (38%); I21A9 (38%); I4891 (25%); I4892 (24%)
I232,Ventricular septal defect as current complication following acute myocardial infarction,229,I219 (45%); I21A1 (37%); I21A9 (37%); I501 (29%); I4901 (27%)
I233,Rupture of cardiac wall without hemopericardium as current complication following acute myocardial infarction,229,I219 (44%); I21A1 (36%); I21A9 (36%); I462 (30%); I220 (27%)
I234,Rupture of chordae tendineae as current complication following acute myocardial infarction,229,I219 (45%); I21A1 (37%); I21A9 (37%); I515 (22%); I21B (21%)
I235,Rupture of papillary muscle as current complication following acute myocardial infarction,229,I219 (47%); I21A1 (39%); I21A9 (39%); I515 (23%); I21B (23%)
I236,"Thrombosis of atrium, auricular appendage, and ventricle as current complications following acute myocardial infarction",229,I219 (40%); I21A1 (33%); I21A9 (33%); C715 (30%); I515 (19%)
I237,Postinfarction angina,229,A0104 (0%); A0105 (0%); A021 (0%); A0223 (0%); A0224 (0%)
I238,Other current complications following acute myocardial infarction,229,I219 (67%); I21A1 (55%); I21A9 (55%); I515 (33%); I21B (32%)
I240,Acute coronary thrombosis not resulting in myocardial infarction,229,I219 (58%); I21A1 (48%); I21A9 (48%); I21B (48%); I2111 (40%)
I241,Dressler's syndrome,229,E340 (26%); G839 (25%); G8382 (23%); G8383 (23%); D469 (20%)
I248,Other forms of acute ischemic heart disease,229,B4489 (41%); B458 (41%); I50811 (37%); I279 (36%); I110 (36%)
I2481,Acute coronary microvascular dysfunction,229,I21B (79%); E318 (28%); E319 (27%); T463X2A (24%); J4A8 (24%)
I2489,Other forms of acute ischemic heart disease,229,B4489 (41%); B458 (41%); I50811 (37%); I279 (36%); I110 (36%)
I249,"Acute ischemic heart disease, unspecified",229,I279 (47%); I50811 (45%); I110 (43%); I50813 (41%); M05359 (36%)
I2510,Atherosclerotic heart disease of native coronary artery without angina pectoris,,
I25110,Atherosclerotic heart disease of native coronary artery with unstable angina pectoris,229,I279 (25%); I110 (25%); I2111 (20%); I271 (20%); I1311 (19%)
I25111,Atherosclerotic heart disease of native coronary artery with angina pectoris with documented spasm,,
I25112,Atherosclerotic heart disease of native coronary artery with refractory angina pectoris,,
I25118,Atherosclerotic heart disease of native coronary artery with other forms of angina pectoris,,
I25119,Atherosclerotic heart disease of native coronary artery with unspecified angina pectoris,,
I252,Old myocardial infarction,,
I253,Aneurysm of heart,,
I2541,Coronary artery aneurysm,,
I2542,Coronary artery dissection,,
I255,Ischemic cardiomyopathy,,
I256,Silent myocardial ischemia,,
I25700,"Atherosclerosis of coronary artery bypass graft(s), unspecified, with unstable angina pectoris",229,I7035 (34%); I7035 (34%); I7075 (32%); I7075 (32%); I70349 (32%)
I25701,"Atherosclerosis of coronary artery bypass graft(s), unspecified, with angina pectoris with documented spasm",,
I25702,"Atherosclerosis of coronary artery bypass graft(s), unspecified, with refractory angina pectoris",,
I25708,"Atherosclerosis of coronary artery bypass graft(s), unspecified, with other forms of angina pectoris",,
I25709,"Atherosclerosis of coronary artery bypass graft(s), unspecified, with unspecified angina pectoris",,
I25710,Atherosclerosis of autologous vein coronary artery bypass graft(s) with unstable angina pectoris,229,I7045 (50%); I7045 (50%); I70443 (46%); I70443 (46%); I70433 (46%)
I25711,Atherosclerosis of autologous vein coronary artery bypass graft(s) with angina pectoris with documented spasm,,
I25712,Atherosclerosis of autologous vein coronary artery bypass graft(s) with refractory angina pectoris,,
I25718,Atherosclerosis of autologous vein coronary artery bypass graft(s) with other forms of angina pectoris,,
I25719,Atherosclerosis of autologous vein coronary artery bypass graft(s) with unspecified angina pectoris,,
I25720,Atherosclerosis of autologous artery coronary artery bypass graft(s) with unstable angina pectoris,229,I7045 (37%); I7045 (37%); I70443 (35%); I70443 (35%); I70433 (35%)
I25721,Atherosclerosis of autologous artery coronary artery bypass graft(s) with angina pectoris with documented spasm,,
I25722,Atherosclerosis of autologous artery coronary artery bypass graft(s) with refractory angina pectoris,,
I25728,Atherosclerosis of autologous artery coronary artery bypass graft(s) with other forms of angina pectoris,,
I25729,Atherosclerosis of autologous artery coronary artery bypass graft(s) with unspecified angina pectoris,,
I25730,Atherosclerosis of nonautologous biological coronary artery bypass graft(s) with unstable angina pectoris,229,I7055 (52%); I7055 (52%); I70543 (49%); I70543 (49%); I70533 (49%)
I25731,Atherosclerosis of nonautologous biological coronary artery bypass graft(s) with angina pectoris with documented spasm,,
I25732,Atherosclerosis of nonautologous biological coronary artery bypass graft(s) with refractory angina pectoris,,
I25738,Atherosclerosis of nonautologous biological coronary artery bypass graft(s) with other forms of angina pectoris,,
I25739,Atherosclerosis of nonautologous biological coronary artery bypass graft(s) with unspecified angina pectoris,,
